Accession,Host,order,family,genus,species
NC_025421.1,Lactobacillus delbrueckii,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii
NC_025424.1,Bacillus thuringiensis,Bacillales,Bacillaceae,Bacillus,Bacillus thuringiensis
NC_025425.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_025426.1,Staphylococcus aureus,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_025427.1,Rhizobium leguminosarum,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium leguminosarum
NC_025428.1,Ruegeria pomeroyi,Rhodobacterales,Roseobacteraceae,Ruegeria,Ruegeria pomeroyi
NC_025429.1,Rhizobium leguminosarum,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium leguminosarum
NC_025430.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_025431.1,Mesorhizobium loti,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium loti
NC_025433.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_025436.1,Shewanella sp.,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp.
NC_025438.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_025439.1,Idiomarinaceae bacterium N2-2,Alteromonadales,Idiomarinaceae,unknown,Idiomarinaceae bacterium N2-2
NC_025442.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_025443.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_025447.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_025448.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_025449.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_025450.1,Lelliottia sp. GL2,Enterobacterales,Enterobacteriaceae,Lelliottia,Lelliottia sp. GL2
NC_025451.1,Yersinia enterocolitica,Enterobacterales,Yersiniaceae,Yersinia,Yersinia enterocolitica
NC_025452.1,Dickeya sp.,Enterobacterales,Pectobacteriaceae,Dickeya,Dickeya sp.
NC_025455.1,Synechococcus sp. CB0208,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. CB0208
NC_025456.1,Synechococcus sp. CB0101,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. CB0101
NC_025457.1,Acinetobacter baumannii,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
NC_025458.1,Shewanella sp.,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp.
NC_025459.1,Aeromonas hydrophila,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
NC_025461.1,Synechococcus sp. CB0101,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. CB0101
NC_025462.1,Acinetobacter baumannii,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
NC_025463.1,Shewanella sp.,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp.
NC_025464.1,Synechococcus sp. CB0101,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. CB0101
NC_025465.1,Enterococcus faecalis,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis
NC_025466.1,Shewanella sp.,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp.
NC_025467.1,Enterococcus faecium,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium
NC_025213.1,Nanohaloarchaea archaeon AB578-D14,unknown,unknown,unknown,unknown
NC_025115.1,Ralstonia solanacearum,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia solanacearum
NC_024782.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_024783.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_024784.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_024785.1,Acinetobacter baumannii,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
NC_024787.1,Listeria monocytogenes,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes
NC_024789.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_024790.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_024791.1,Vibrio cholerae,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae
NC_024792.1,Bacillus pumilus,Bacillales,Bacillaceae,Bacillus,Bacillus pumilus
NC_024793.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_024794.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_024354.1,Cronobacter sakazakii,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter sakazakii
NC_024356.1,Enterococcus faecium,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium
NC_024358.1,Trichormus variabilis,Nostocales,Nostocaceae,Trichormus,Trichormus variabilis
NC_024359.1,Listeria monocytogenes,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes
NC_024362.1,Pseudomonas syringae,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae
NC_024363.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_024366.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_024367.1,Dinoroseobacter shibae,Rhodobacterales,Roseobacteraceae,Dinoroseobacter,Dinoroseobacter shibae
NC_024368.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_024369.2,Vibrio cholerae,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae
NC_024371.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_024375.1,Listeria monocytogenes,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes
NC_024378.1,Leuconostoc mesenteroides,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc mesenteroides
NC_024379.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_024380.1,Leuconostoc pseudomesenteroides,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc pseudomesenteroides
NC_024381.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_024383.1,Listeria monocytogenes,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes
NC_024384.1,Listeria monocytogenes,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes
NC_024385.1,Leuconostoc pseudomesenteroides,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc pseudomesenteroides
NC_024386.1,Leuconostoc mesenteroides,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc mesenteroides
NC_024387.1,Listeria monocytogenes,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes
NC_024388.1,Leuconostoc mesenteroides,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc mesenteroides
NC_024389.1,Leuconostoc mesenteroides,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc mesenteroides
NC_024390.1,Leuconostoc pseudomesenteroides,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc pseudomesenteroides
NC_024391.1,Staphylococcus aureus,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_024392.1,Listeria monocytogenes,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes
NC_024330.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_024357.1,Streptococcus pneumoniae,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae
NC_024360.1,Listeria monocytogenes,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes
NC_024361.1,Streptococcus pneumoniae,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae
NC_024364.1,Listeria monocytogenes,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes
NC_024365.1,Pseudomonas syringae,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae
NC_024370.1,Streptococcus pneumoniae,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae
NC_023558.1,Cronobacter turicensis,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter turicensis
NC_024203.1,Lactococcus lactis,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis
NC_024204.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_024208.1,Lactococcus lactis,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis
NC_024209.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_024212.1,Enterococcus faecalis,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis
NC_024214.1,Lactococcus lactis,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis
NC_024215.1,Lactococcus lactis,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis
NC_024216.1,Bacillus thuringiensis,Bacillales,Bacillaceae,Bacillus,Bacillus thuringiensis
NC_024134.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_024135.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_024136.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_024137.1,Bacillus cereus,Bacillales,Bacillaceae,Bacillus,Bacillus cereus
NC_024138.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_024139.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_024140.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_024141.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_024142.2,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_024143.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_024146.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_024147.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_024148.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_024149.1,Lactococcus garvieae,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus garvieae
NC_024121.1,Serratia marcescens,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens
NC_024123.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_024125.2,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_022768.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_022774.1,Priestia megaterium,Bacillales,Bacillaceae,Priestia,Priestia megaterium
NC_022980.1,Brevibacillus laterosporus,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus laterosporus
NC_023741.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023742.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023744.1,Mycobacterium tuberculosis,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis
NC_023745.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023746.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023747.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023748.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023865.1,Pectobacterium carotovorum,Enterobacterales,Pectobacteriaceae,Pectobacterium,Pectobacterium carotovorum
NC_023859.1,Microbacterium oxydans,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium oxydans
NC_023862.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023863.2,Vibrio anguillarum,Vibrionales,Vibrionaceae,Vibrio,Vibrio anguillarum
NC_023686.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023687.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023688.1,Aeromonas salmonicida,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas salmonicida
NC_023689.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023690.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023691.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023692.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023694.1,Prescottella equi,Mycobacteriales,Nocardiaceae,Prescottella,Prescottella equi
NC_023695.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023696.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023697.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023698.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023699.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023700.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_023701.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023702.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023703.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023704.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023705.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023706.1,Prescottella equi,Mycobacteriales,Nocardiaceae,Prescottella,Prescottella equi
NC_023707.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023708.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023709.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023710.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023711.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023712.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023713.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023714.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023715.1,Yersinia pestis,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis
NC_023716.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023717.1,Cronobacter sakazakii,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter sakazakii
NC_023719.1,Priestia megaterium,Bacillales,Bacillaceae,Priestia,Priestia megaterium
NC_023720.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023721.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023722.1,Prescottella equi,Mycobacteriales,Nocardiaceae,Prescottella,Prescottella equi
NC_023723.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023724.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023725.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023726.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023727.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023728.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023729.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023730.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023731.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023732.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023733.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023734.1,Psychrobacter sp. MV2,Moraxellales,Moraxellaceae,Psychrobacter,Psychrobacter sp. MV2
NC_023735.1,Prescottella equi,Mycobacteriales,Nocardiaceae,Prescottella,Prescottella equi
NC_023736.1,Ralstonia solanacearum,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia solanacearum
NC_023737.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023738.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023739.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023740.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023743.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_023549.1,Clavibacter michiganensis,Micrococcales,Microbacteriaceae,Clavibacter,Clavibacter michiganensis
NC_023550.1,Staphylococcus aureus,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_023551.1,Enterococcus sp.,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus sp.
NC_023552.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023553.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023554.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023555.1,Edwardsiella ictaluri,Enterobacterales,Hafniaceae,Edwardsiella,Edwardsiella ictaluri
NC_023556.1,Achromobacter xylosoxidans,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans
NC_023557.1,Erwinia amylovora,Enterobacterales,Erwiniaceae,Erwinia,Erwinia amylovora
NC_023561.1,Enterobacter cloacae,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacae
NC_023562.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023563.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023564.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023565.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023566.1,Rhizobium gallicum,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium gallicum
NC_023569.1,Vibrio parahaemolyticus,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus
NC_023570.1,Acinetobacter baumannii,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
NC_023572.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023574.1,Lactococcus lactis,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis
NC_023577.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023578.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023579.1,Erwinia amylovora,Enterobacterales,Erwiniaceae,Erwinia,Erwinia amylovora
NC_023580.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023581.1,Acinetobacter nosocomialis,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter nosocomialis
NC_023582.1,Staphylococcus epidermidis,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis
NC_023584.1,Synechococcus sp. WH 7803,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. WH 7803
NC_023587.1,Synechococcus sp. WH 7803,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. WH 7803
NC_023588.1,Stenotrophomonas maltophilia,Lysobacterales,Lysobacteraceae,Stenotrophomonas,Stenotrophomonas maltophilia
NC_023589.1,Shigella boydii,Enterobacterales,Enterobacteriaceae,Shigella,Shigella boydii
NC_023590.1,Acinetobacter baumannii,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
NC_023593.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_023594.2,Shewanella putrefaciens,Alteromonadales,Shewanellaceae,Shewanella,Shewanella putrefaciens
NC_023597.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023599.1,Bacillus thuringiensis,Bacillales,Bacillaceae,Bacillus,Bacillus thuringiensis
NC_023604.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023605.1,Vibrio alginolyticus,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
NC_023606.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023609.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023612.1,Geobacillus kaustophilus,Bacillales,Bacillaceae,Geobacillus,Geobacillus kaustophilus
NC_023614.1,Croceibacter atlanticus,Flavobacteriales,Flavobacteriaceae,Croceibacter,Croceibacter atlanticus
NC_023548.1,Citrobacter rodentium,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter rodentium
NC_023560.1,Oenococcus oeni,Lactobacillales,Lactobacillaceae,Oenococcus,Oenococcus oeni
NC_023568.1,Vibrio harveyi,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi
NC_023571.1,Oenococcus oeni,Lactobacillales,Lactobacillaceae,Oenococcus,Oenococcus oeni
NC_023573.1,Staphylococcus aureus,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_023575.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_023576.1,Citrobacter rodentium,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter rodentium
NC_023583.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_023585.1,Saccharolobus solfataricus,Sulfolobales,Sulfolobaceae,Saccharolobus,Saccharolobus solfataricus
NC_023592.1,Haloarcula hispanica,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula hispanica
NC_023595.2,Enterococcus faecalis,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis
NC_023601.2,Pseudomonas syringae,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae
NC_023608.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_023610.1,Erwinia amylovora,Enterobacterales,Erwiniaceae,Erwinia,Erwinia amylovora
NC_023498.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_023499.1,Staphylococcus aureus,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_023500.1,Staphylococcus aureus,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
NC_023502.1,Rhizobium leguminosarum,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium leguminosarum
NC_023503.1,Streptococcus thermophilus,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus
NC_022762.1,Lactobacillus delbrueckii,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii
NC_022764.1,Priestia megaterium,Bacillales,Bacillaceae,Priestia,Priestia megaterium
NC_022763.1,Bacillus thuringiensis,Bacillales,Bacillaceae,Bacillus,Bacillus thuringiensis
NC_022765.1,Bacillus pumilus,Bacillales,Bacillaceae,Bacillus,Bacillus pumilus
